country,source_organization,source_document,datasourcedocument,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,indicator,value,population,value_per_capita,product,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,country_code,collection_schedule,collection_date,season_date,season_year,status,collection_status,publication_name,document_type,id,dataseries_name
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2022-08-01,2022-08-31,Main,Harvest,Yield,0.00000000,,,Sweet Potatoes,MT/ha,tonnes per hectare,R01591AA,Sweet potatoes,Central America,,BZ,Ad Hoc,2022-08-31,2022-08-31,Main 2022,Collected,Published,"Agricultural Production Statistics for 2022, Belize",crop_final,37092745,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01591AA / Sweet Potatoes: Main: crop: crop:yield: tonnes per hectare"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2023-08-01,2023-08-31,Main,Harvest,Yield,,,,Sweet Potatoes,MT/ha,tonnes per hectare,R01591AA,Sweet potatoes,Central America,,BZ,Ad Hoc,2023-08-31,2023-08-31,Main 2023,Missing Historic Data,Published,"Agricultural Production Statistics for 2023, Belize",crop_final,37092751,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01591AA / Sweet Potatoes: Main: crop: crop:yield: tonnes per hectare"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2002-08-01,2002-08-31,Main,Harvest,Quantity Produced,4.0823280000000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2002-08-31,2002-08-31,Main 2002,Collected,Published,"Agricultural Production Statistics for 2002, Belize",crop_final,37098144,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2004-08-01,2004-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2004-08-31,2004-08-31,Main 2004,Collected,Published,"Agricultural Production Statistics for 2004, Belize",crop_final,37098153,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2005-08-01,2005-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2005-08-31,2005-08-31,Main 2005,Collected,Published,"Agricultural Production Statistics for 2005, Belize",crop_final,37098159,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2006-08-01,2006-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2006-08-31,2006-08-31,Main 2006,Collected,Published,"Agricultural Production Statistics for 2006, Belize",crop_final,37098165,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2007-08-01,2007-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2007-08-31,2007-08-31,Main 2007,Collected,Published,"Agricultural Production Statistics for 2007, Belize",crop_final,37098170,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2008-08-01,2008-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2008-08-31,2008-08-31,Main 2008,Collected,Published,"Agricultural Production Statistics for 2008, Belize",crop_final,37098176,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2009-08-01,2009-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2009-08-31,2009-08-31,Main 2009,Collected,Published,"Agricultural Production Statistics for 2009, Belize",crop_final,37098182,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
Belize,"Ministry of Agriculture, Fisheries, Forestry, Environment and Sustainable Development, Belize","Official agricultural statistics, Belize",4443,BZ1982A101,Belize,Belize,,,,,All (PS),2010-08-01,2010-08-31,Main,Harvest,Quantity Produced,0.00000000,,,Green bean (fresh),t,Tonne,R01241AA,Green Bean,Central America,,BZ,Ad Hoc,2010-08-31,2010-08-31,Main 2010,Collected,Published,"Agricultural Production Statistics for 2010, Belize",crop_final,37098188,"Official agricultural statistics, Belize: Belize, Belize (01/01/1982 - 12/31/2017): All sectors (PS): R01241AA / Green bean (fresh): Main: crop: crop:quantity: Tonne"
