"district","hazard_name","year","rank_avg","rank_bysector"
"Orange Walk","Drought",2000,21,8
"Orange Walk","Drought",2001,21,8
"Orange Walk","Drought",2002,21,8
"Orange Walk","Drought",2003,21,8
"Orange Walk","Drought",2004,4,4
"Orange Walk","Drought",2005,21,8
"Orange Walk","Drought",2006,21,8
"Orange Walk","Drought",2007,26,22
"Orange Walk","Drought",2008,21,8
"Orange Walk","Drought",2009,3,3
"Orange Walk","Drought",2010,21,8
"Orange Walk","Drought",2011,26,22
"Orange Walk","Drought",2012,21,8
"Orange Walk","Drought",2013,2,2
"Orange Walk","Drought",2014,26,22
"Orange Walk","Drought",2015,21,8
"Orange Walk","Drought",2016,7,7
"Orange Walk","Drought",2017,21,8
"Orange Walk","Drought",2018,26,22
"Orange Walk","Drought",2019,21,8
"Orange Walk","Drought",2020,6,6
"Orange Walk","Drought",2021,5,5
"Orange Walk","Drought",2022,21,8
"Orange Walk","Drought",2023,26,22
"Orange Walk","Drought",2024,21,8
"Orange Walk","Drought",2025,1,1
